lemma,pos,gloss,source
erreichen,verb,to reach (to attain by stretching),lemma
erschaffen,verb,to create; to produce; to make,lemma
erscheinen,verb,to appear,lemma
erschießen,verb,to shoot dead,lemma
erschöpft,adj,exhausted,lemma
ersetzen,verb,to replace,lemma
erst,adv,"first, at first",lemma
erstaunen,verb,"to astonish, astound",lemma
erste,adj,first,lemma
ertragen,verb,"to bear, to stand, to endure, to take, to suffer, to tolerate, to handle",lemma
erwachsen,verb,"to grow up, to grow",lemma
erwarten,verb,"to expect, to consider likely",lemma
erwartung,noun,"expectation, expectancy",lemma
erwidern,verb,"to reciprocate, return, to react with something analogous",lemma
erwischen,verb,to catch (often referring to catching someone in an act of wrongdoing),lemma
erwähnen,verb,to mention [with accusative or (archaic) genitive ‘something’] (speak of something),lemma
erziehung,noun,"education; upbringing; character formation (process of imparting basic knowledge, judgment, morals, and manners, especially to a child)",lemma
erzählen,verb,"to tell, to narrate, to recount",lemma
es,pron,"Refers to a neuter noun (person, animal, thing or abstract)",lemma
esel,noun,"ass, donkey",lemma
esperanto,name,Esperanto,lemma
essen,verb,to eat,lemma
etwa,adv,approximately,lemma
etwas,adv,"somewhat, slightly",lemma
euer,det,your (addressing two or more people informally),lemma
euro,noun,euro (currency),lemma
europa,name,Europe (a continent located west of Asia and north of Africa),lemma
europäisch,adj,European,lemma
ewig,adj,"eternal, everlasting",lemma
ewigkeit,noun,eternity,lemma
existenz,noun,existence,lemma
existieren,verb,to exist,lemma
extrem,adj,extreme,lemma
fabrik,noun,plant (factory or industrial facility),lemma
facebook,name,Facebook,lemma
fahren,verb,to go at speed,lemma
fahrkarte,noun,fare ticket,lemma
fahrrad,noun,bicycle,lemma
fakt,noun,fact,lemma
fall,noun,"fall, drop (the act of falling or an instance thereof)",lemma
fallen,verb,"to fall, to drop",lemma
falsch,adj,"false, unfactual, untrue",lemma
familie,noun,family,lemma
fangen,verb,to catch (grab something flying in the air),lemma
fantasie,noun,imagination,lemma
farbe,noun,colour,lemma
fass,noun,"barrel, keg, cask",lemma
fassen,verb,"to gird, to surround, to confine into a form",lemma
fast,adv,almost; nearly,lemma
faul,adj,"foul, rotten, rancid",lemma
februar,noun,February,lemma
fehlen,verb,for there to be a lack [with dative ‘to someone/something’ and an (+ dative) ‘of something’] (idiomatically translated by English lack with the dative object as the subject),lemma
fehler,noun,"fault, error, mistake",lemma
feier,noun,celebration,lemma
feiern,verb,to celebrate; to party; applicable from the most solemn to the most revelrous forms,lemma
feind,adj,enemy; hostile,lemma
feld,noun,"field (plot of open land, especially one used to grow crops)",lemma
felsen,noun,rock,lemma
fenster,noun,window,lemma
ferien,noun,"holidays during which an institution (especially a school, university) or a business is closed; break (usually three days or more)",lemma
fern,adj,remote,lemma
fernsehen,verb,to watch television,lemma
fernseher,noun,"a television set, a TV",lemma
fertig,adj,ready for use; done; fully prepared,lemma
fest,adj,firm; compact; hard,lemma
festnehmen,verb,to arrest (take into legal custody),lemma
fett,adj,fat,lemma
feu,verb,to fire,form-of
feuern,verb,to fire,lemma
fieber,noun,fever (heightened body temperature),lemma
figur,noun,"figure, figurine",lemma
film,noun,film (a thin layer of some substance),lemma
finden,verb,to find; to discover,lemma
finger,noun,finger,lemma
finnland,name,Finland (a country in Northern Europe),lemma
firma,noun,"A company, a business.",lemma
fisch,noun,fish (cold-blooded vertebrates living in water),lemma
flagge,noun,flag,lemma
flasche,noun,bottle; flask; flagon,lemma
fleisch,noun,flesh,lemma
fleißig,adj,"diligent, hard-working, industrious, busy, assiduous, sedulous",lemma
fliegen,verb,to fly; to travel by air,lemma
fließen,verb,Switzerland and Liechtenstein standard spelling of fließen,lemma
fluchen,verb,"to swear, to curse",lemma
flug,noun,flight (in the air),lemma
flughafen,noun,airport,lemma
flugzeug,noun,aeroplane,lemma
fluss,noun,river,lemma
flügel,noun,"wing (of a bird, airplane, etc.)",lemma
folgen,verb,to follow (on the same path or in a sequence),lemma
folgend,adj,"following, subsequent",lemma
fordern,verb,"to demand, ask",lemma
form,noun,shape,lemma
fort,adv,away,lemma
fortschritt,noun,"progress, advancement",lemma
foto,noun,photograph (picture created by projecting an image onto a photosensitive surface),lemma
fotoapparat,noun,camera (device for making still pictures),lemma
fotografieren,verb,to photograph,lemma
frag,verb,to ask,form-of
fragen,verb,to ask,lemma
frankreich,name,France (a country located primarily in Western Europe),lemma
franzose,noun,Frenchman (person of French birth or nationality),lemma
französisch,adj,French,lemma
französischlehrer,noun,French teacher,lemma
frau,pron,"one, they (indefinite third-person singular pronoun)",lemma
frei,adj,free; unenslaved; unimprisoned,lemma
freien,verb,Synonym of befreien,lemma
freiheit,noun,freedom,lemma
freitag,noun,Friday,lemma
freizeit,noun,"free time, leisure time, spare time. The time during which one is not working.",lemma
fremd,adj,strange,lemma
fremdsprache,noun,foreign language,lemma
fressen,verb,to eat; to feed on; to devour,lemma
freu,verb,"to gladden, to make glad, to make pleased",form-of
freude,noun,"joy, delight, glee",lemma
freuen,verb,"to gladden, to make glad, to make pleased",lemma
freund,noun,friend,lemma
freundlich,adj,"friendly, benign",lemma
freundschaft,noun,friendship,lemma
frieden,noun,peace,lemma
frisch,adj,fresh,lemma
froh,adj,glad; (momentarily) happy; (momentarily) cheerful,lemma
frosch,noun,frog,lemma
frucht,noun,fruit (seed-bearing part of a plant),lemma
fröhlich,adj,merry; cheerful; either as a character trait or fleetingly,lemma
früh,adj,early,lemma
frühling,noun,spring,lemma
frühstück,noun,breakfast,lemma
frühstücken,verb,"to have breakfast, to breakfast (to eat the morning meal)",lemma
fuchs,noun,fox (animal),lemma
fuhren,name,"a small town in Tandel, Luxembourg",lemma
funktionieren,verb,"to work, function",lemma
furcht,noun,fear; fright; anxiety,lemma
furchtbar,adj,terrible,lemma
fuß,noun,foot (body part),lemma
fußball,noun,soccer; association football,lemma
fußboden,noun,floor,lemma
fähig,adj,capable (having the general capability to),lemma
fähigkeit,noun,"ability, capability",lemma
fällen,verb,"to cut down, to chop down, to fell (a tree)",lemma
fühl,verb,"to feel (a thing, sensation, emotion - a noun)",form-of
fühlen,verb,"to feel (a thing, sensation, emotion - a noun)",lemma
führen,verb,to lead,lemma
führerschein,noun,"driver's license (US), driver's licence (Aus), driving licence (UK)",lemma
fünf,noun,five,lemma
fünfzehn,noun,fifteen (number),lemma
fünfzig,noun,fifty (number),lemma
für,prep,describes an abstract directionality towards a person or matter,lemma
fürcht,verb,to fear,form-of
fürchten,verb,to fear,lemma
füttern,verb,to feed (to give food to),lemma
füßen,noun,Switzerland and Liechtenstein standard spelling of Füßen,lemma
gaben,verb,to give (changing ownership),form-of
gang,noun,"motion, movement, progress, way, going",lemma
ganz,adj,"entire, whole, complete",lemma
gar,adj,"cooked, done (of food such as meat or vegetables: ready for consumption)",lemma
garage,noun,"garage (building used to store cars, tools, etc.)",lemma
garten,noun,"garden, yard (grounds at the front or back of a house)",lemma
gas,noun,gas (matter in a physical state between liquid and plasma),lemma
gast,noun,guest,lemma
geben,verb,to give (changing ownership),lemma
gebiet,noun,"area, region",lemma
gebiss,noun,set of teeth,lemma
gebrauch,noun,"use, usage",lemma
gebroch,verb,to break,form-of
geburt,noun,birth,lemma
geburtstag,noun,birthday,lemma
gebären,verb,"to give birth; referring to labour, or to labour and pregnancy as a whole",lemma
gebäude,noun,"building, edifice, structure",lemma
gedacht,verb,to think,form-of
gedanke,noun,a thought [with an (+ accusative) ‘[of/about] (something)’],lemma
gedicht,noun,poem,lemma
geduld,noun,patience,lemma
geduldig,adj,"patient (ability or willingness to accept or tolerate delays, problems, or suffering)",lemma
gedächtnis,noun,memory (ability to recall),lemma
gefahr,noun,"danger, hazard, peril, risk",lemma
gefallen,verb,to please; to appeal to [with dative ‘someone’] (idiomatically translated by English like with the dative object as the subject),lemma
gefragt,verb,to ask,form-of
gefund,verb,to find; to discover,form-of
gefährlich,adj,"dangerous, hazardous",lemma
gefängnis,noun,"prison, jail (building)",lemma
gefühl,noun,feeling (either physical sensation or emotion),lemma
gefühlt,verb,perceived,lemma
gegen,prep,against,lemma
gegend,noun,"area, region",lemma
gegensatz,noun,"opposition, antagonism",lemma
gegenseitig,adj,"mutual, reciprocal",lemma
gegenteil,noun,opposite (contrary thing),lemma
gegenwart,noun,the present,lemma
gegenüber,adv,on the opposite side,lemma
gegner,noun,"adversary, opponent, enemy",lemma
gegründet,adj,"founded, established",lemma
gehalt,noun,"content, fraction (amount or percentage of some material in a mass)",lemma
geheimnis,noun,secret,lemma
gehen,verb,"to go, to walk",lemma
gehirn,noun,brain,lemma
gehorchen,verb,to obey,lemma
geht's,contraction,contraction of geht es,lemma
geige,noun,"violin, fiddle",lemma
geist,noun,spirit,lemma
gelang,verb,"to turn out well, to work out, to go smoothly, to succeed, to come off",form-of
gelangen,verb,"to reach, get to, end up in (a place, location)",lemma
gelaunt,adj,in a certain mood (specified by adverbs ranging from good to bad),lemma
gelb,adj,yellow,lemma
geld,noun,money,lemma
geldbeutel,noun,"wallet, purse",lemma
gelegenheit,noun,"opportunity, chance, instance, occasion",lemma
geliebt,adj,loved,lemma
gelingen,verb,"to turn out well, to work out, to go smoothly, to succeed, to come off",lemma
gelogen,adj,untrue; having been lied about,lemma
gelt,particle,alternative form of gell,lemma
gelten,verb,to be valid; to count; to hold true,lemma
gelungen,adj,"successful, well done",lemma
gemein,adj,"mean, nasty, wicked",lemma
gemeinsam,adj,"common, mutual, shared",lemma
gemeint,adj,intended,lemma
gemälde,noun,painting,lemma
gemüse,noun,vegetable; vegetables (kinds of plants),lemma
genannt,adj,"called, mentioned, named",lemma
genau,adj,exact,lemma
genauso,adv,"just as, just the same",lemma
generation,noun,generation,lemma
genie,noun,genius,lemma
genießen,verb,Switzerland and Liechtenstein standard spelling of genießen,lemma
genoss,verb,Switzerland and Liechtenstein standard spelling of genießen,form-of
genug,adj,"enough, sufficient, in an adequate way",lemma
genügen,verb,"to suffice, to be enough",lemma
gepäck,noun,"luggage, baggage",lemma
gerade,adj,even,lemma
geraten,verb,to turn out; to succeed; to thrive,lemma
gerecht,adj,"just, fair",lemma
gerechtigkeit,noun,justice,lemma
gericht,noun,court (of justice),lemma
gern,adv,"willingly; gladly; with pleasure; usually expressed verbally in English, with like, enjoy etc.",lemma
geruch,noun,"smell, odour",lemma
gerät,noun,"device, tool, appliance, machine",lemma
geräusch,noun,"noise, sound",lemma
gerücht,noun,rumor / rumour,lemma
gesamt,adj,"total, whole, entire, overall, big",lemma
geschehen,verb,to occur; to happen,lemma
geschenk,noun,"present, gift",lemma
geschichte,noun,history,lemma
geschirr,noun,dishware,lemma
geschmack,noun,taste,lemma
geschoss,noun,projectile,lemma
geschwindigkeit,noun,"speed, pace, tempo, velocity, rate",lemma
geschwister,noun,sibling,lemma
geschäft,noun,"shop, store (establishment that sells goods or services to the public; originally only a physical location, but now a virtual establishment as well)",lemma
gesellschaft,noun,company (presence of other people in general),lemma
gesetz,noun,"law, legal act, bill, statute",lemma
gesicht,noun,face,lemma
gespräch,noun,"conversation, chat, talk (conversing between people or parties, either for pleasure or for business)",lemma
gestellt,adj,staged; contrived; faked,lemma
gestern,adv,yesterday,lemma
gestiegen,adj,risen,lemma
gestorben,adj,deceased (no longer alive),lemma
gesund,adj,healthy (enjoying health),lemma
gesundheit,noun,health (state of being in good physical condition and free from illness),lemma
getränk,noun,"drink, beverage (liquid for consumption)",lemma
gewalt,noun,strong or violent force,lemma
gewicht,noun,weight,lemma
gewinn,noun,"profit, gain, yield",lemma
gewinnen,verb,to win; to be victorious,lemma
gewiss,adj,certain,lemma
gewohnheit,noun,habit,lemma
gewonnen,adj,"gained, won",lemma
gewöhnen,verb,"to accustom, inure, make accustomed",lemma
gewöhnlich,adj,"usual, normal, ordinary, everyday",lemma
geändert,adj,changed,lemma
gift,noun,poison; toxin; venom,lemma
gipfel,noun,"peak, pinnacle",lemma
gitarre,noun,guitar,lemma
glas,noun,glass,lemma
glaub,verb,to believe something (to consider true),form-of
glauben,verb,to believe something (to consider true),lemma
gleich,adj,equal,lemma
gleichen,verb,"to be like, to equal to, to resemble",lemma
gleichzeitig,adj,"simultaneous, concurrent, coincident, concomitant",lemma
glück,noun,"happiness, joy, bliss (state or emotion)",lemma
glücklich,adj,happy; both momentarily and generally in life,lemma
gold,noun,"gold (chemical element, Au)",lemma
golden,adj,golden; gold (made of gold),lemma
golf,noun,"bay, gulf",lemma
google,name,Google (search engine),lemma
gott,noun,god,lemma
gra,verb,to graze (feed on grass),form-of
grab,noun,grave,lemma
grad,adv,alternative form of gerade,lemma
grammatik,noun,grammar,lemma
grau,adj,"grey, gray",lemma
grenzen,verb,to border,lemma
griechenland,name,Greece (a country in Southeastern Europe),lemma
griff,noun,"grasp, reach (act of trying to grab)",lemma
groß,adj,"big, large, large-scale",lemma
großartig,adj,"terrific, superb, etc.",lemma
großbritannien,name,"Great Britain (a large island (sometimes also including some of the surrounding smaller islands) off the north-west coast of Western Europe, made up of England, Scotland, and Wales",lemma
großeltern,noun,grandparents,lemma
großmutter,noun,grandmother,lemma
großvater,noun,grandfather,lemma
grund,noun,"ground, land (usually as someone's property)",lemma
grundlage,noun,foundation,lemma
gruppe,noun,group,lemma
größe,noun,"size, height",lemma
grün,adj,green (in colour),lemma
gründe,verb,"to found, to establish (a community, settlement, organization, company, etc.)",form-of
gründen,verb,"to found, to establish (a community, settlement, organization, company, etc.)",lemma
gründlich,adj,"thorough, in-depth",lemma
grünen,verb,to be green; to become green,lemma
gucken,verb,"to look, to direct one's gaze at something",lemma
gut,adj,"good (acting in the interest of what is beneficial, ethical, or moral)",lemma
gäb,verb,subjunctive II,form-of
gänzlich,adj,"sheer, stark, outright",lemma
güte,noun,"kindness, clemency",lemma
haar,noun,"hair (a singular hair, not limited to the head)",lemma
haben,verb,forms the perfect aspect (have),lemma
hafen,noun,harbour/harbor; port; haven,lemma
hahn,noun,"cock, rooster",lemma
halb,adj,"half, halfway",lemma
hallo,noun,"hullabaloo, cheering (often welcoming or celebratory)",lemma
hals,noun,neck,lemma
halt,adv,"Indicating that something is generally known, or cannot be changed, or the like; often untranslatable; so, just, simply, indeed, well",lemma
halten,verb,to hold (an object in one's hands),lemma
hammer,verb,contraction of haben + wir,lemma
han,name,a male given name,form-fallback
hand,noun,hand,lemma
handeln,verb,to act; to take action,lemma
handschrift,noun,handwriting,lemma
handschuh,noun,"any handwear; glove, mitten, mitt, gauntlet",lemma
handtasche,noun,"handbag, (US) purse",lemma
handtuch,noun,towel (cloth for wiping),lemma
handy,noun,"mobile phone, mobile, cell phone, phone (portable, wireless telephone)",lemma
hans,name,a male given name,lemma
hart,adj,hard,lemma
hass,noun,"hatred, hate",lemma
hassen,verb,to hate,lemma
hau,name,"acronym of Hebbel am Ufer, a theater company and various performance centers in Berlin, Germany",lemma
hauen,verb,"to thrust, slash (with a weapon)",lemma
hauptstadt,noun,capital (city),lemma
hauptsächlich,adj,main,lemma
haus,noun,"house, building",lemma
hausaufgaben,noun,homework,lemma
hawaii,name,"Hawaii, Hawaii Island (an island of Hawaii archipelago, Pacific Ocean, of Hawaii County, State of Hawaii, United States)",lemma
he,intj,An exclamation to get attention; hey,lemma
heben,verb,to lift; to raise,lemma
heiligen,verb,to hallow; to make holy,lemma
heim,adv,"home, to the house; always as a direction, thus never in the sense of at home",lemma
heimat,noun,"home, home town, homeland, native land",lemma
heimlich,adj,"secret, clandestine (done or kept in secret)",lemma
heimweg,noun,way home,lemma
heiraten,verb,to marry; to get married,lemma
heiß,adj,hot (having a high temperature),lemma
heißen,verb,"to have a name; to be named; to be called; but implying that one “owns” this name, not necessarily that one goes by it",lemma
held,noun,hero,lemma
helfen,verb,to help (someone); to assist; to aid,lemma
hell,adj,"clear, bright, light",lemma
hemd,noun,shirt,lemma
her,adv,"hither, to this place, to here, to me/us",lemma
heran,adv,"near, close to the speaker, over to (to the direction of the speaker or an object)",lemma
heraus,adv,out of (in the direction of the speaker); out over here; out from there,lemma
herausfinden,verb,to find out,lemma
herausforderung,noun,"challenge, that which encourages someone to dare more; (loosely) any task or condition that to bear one has to stretch one's boundaries",lemma
herbst,noun,"autumn, fall",lemma
herein,adv,in (in the direction of the speaker),lemma
hergestellt,adj,"produced, made, manufactured",lemma
herr,noun,"man, gentleman",lemma
herrschen,verb,"to rule, to reign, to have dominion",lemma
herum,adv,"about, around.",lemma
herunter,adv,"down, downwards (to the own location downwards)",lemma
hervor,adv,forth (in the direction of the speaker),lemma
herz,noun,heart,lemma
herzlich,adj,"warm, warmhearted, friendly, affectionate, cordial",lemma
heute,adv,today,lemma
heutig,adj,today's (of the day of today),lemma
heutzutage,adv,"nowadays, these days (in the present era; in the world as it is today)",lemma
hex,verb,"to perform witchcraft, cast a spell/spells",form-of
hier,adv,"here; in this place; refers to an environment one is currently in, or to something within reach",lemma
hierbleiben,verb,to stay here,lemma
hierher,adv,"to here, here (to this place), hither",lemma
hierherkommen,verb,to get here,lemma
hilfe,noun,"help, aid",lemma
himmel,noun,sky,lemma
hin,adj,"gone (somewhere), left, situated",lemma
hinauf,adv,"up; upward; upwards (from the own location upwards, in direction away from the speaker)",lemma
hinaus,adv,out (away from the speaker),lemma
hinein,adv,in (away from the speaker),lemma
hingegen,adv,on the other hand,lemma
hingehen,verb,"to go (elsewhere, to somewhere)",lemma
hinlegen,verb,"to put down, lay down",lemma
hinsicht,noun,"regard, aspect, respect, viewpoint",lemma
hinten,adv,behind; in the back,lemma
hinter,adv,over; to some place fairly nearby,lemma
hinterher,adv,behind,lemma
hinterlassen,verb,"to leave, to leave behind (after leaving a location)",lemma
hintern,noun,"The backside, bottom, butt, behind, hinder",lemma
hinunter,adv,"down, downwards (from the own location downwards)",lemma
hinzu,adv,"in addition, besides",lemma
hinzufügen,verb,"to say (after saying something else), to add",lemma
hitze,noun,heat,lemma
hobby,noun,a hobby (activity),lemma
hoch,adj,"high, tall",lemma
hochzeit,noun,"wedding, marriage (a ceremony in which people are married and/or a celebration thereof)",lemma
hof,noun,"yard, court, courtyard (open area by a house or enclosed by houses)",lemma
hoffen,verb,to hope,lemma
hoffentlich,adv,hopefully (it is hoped that),lemma
hoffnung,noun,"hope, the belief or expectation that something wished for can or will really happen.",lemma
holen,verb,"to (go) get, to fetch (to go somewhere and take something to bring back)",lemma
holz,noun,wood (material),lemma
honig,noun,honey,lemma
horizont,noun,horizon (line where the sky appears to meet the earth; (figurative) range of someone’s thinking or insight),lemma
hose,noun,trousers,lemma
hotel,noun,hotel,lemma
huhn,noun,chicken,lemma
humor,noun,humor (something funny),lemma
hund,noun,"dog, hound",lemma
hundert,noun,hundred (set or unit of one hundred items),lemma
hunger,noun,hunger,lemma
hungrig,adj,hungry (desirous of food),lemma
hut,noun,hat,lemma
hälfte,noun,half; fifty percent of something,lemma
hängen,verb,"to hang, to be suspended",lemma
hässlich,adj,ugly,lemma
häufig,adj,frequent,lemma
höflich,adj,polite (well-mannered),lemma
höhe,noun,"height, altitude",lemma
höhl,verb,to hollow out,form-of
hölle,noun,hell,lemma
hören,verb,to hear (to perceive sounds (or a sound) through the ear),lemma
hübsch,adj,"pretty, handsome",lemma
hügel,noun,hill,lemma
hühner,noun,chicken,form-of
hütte,noun,"hut, cabin, shack, cottage (small house, typically built of light materials rather than stone)",lemma
ich,pron,I (first person singular nominative (subject) pronoun),lemma
idee,noun,idea,lemma
idiot,noun,idiot; moron,lemma
ignorieren,verb,to ignore (deliberately pay no attention to),lemma
ihm,pron,he,form-of
ihn,pron,(obsolete) dative of sie; them (indirect object).,lemma
ihr,pron,"you, ye (plural, familiar)",lemma
im,noun,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information t",lemma
immer,adv,always,lemma
in,adj,"in, popular (in fashion)",lemma
indem,conj,by (indicates a means),lemma
indien,name,India (a country in South Asia),lemma
information,noun,"a piece of information; (in the plural) information, intelligence (things to be known about a topic)",lemma
inhalt,noun,content,lemma
innen,adv,within,lemma
innenstadt,noun,inner city,lemma
inner,adj,inner,lemma
innerhalb,adv,"within, inside (spatial)",lemma
ins,contraction,contraction of in (“(in)to”) + das (“the”) (accusative singular neuter),lemma
insekt,noun,insect,lemma
insel,noun,"an island, an isle",lemma
intelligent,adj,intelligent,lemma
intelligenz,noun,intelligence (capacity of mind),lemma
interessant,adj,interesting,lemma
interesse,noun,interest (attention and concern),lemma
interessieren,verb,to interest,lemma
international,adj,international,lemma
internet,noun,internet,lemma
inzwischen,adv,"since then, by now, in the meantime (contrasting between the current state and a known past state)",lemma
irgend,adv,at all (regarding possibility/ability),lemma
irgendein,det,some; any,lemma
irgendetwas,pron,anything,lemma
irgendjemand,pron,"someone, somebody",lemma
irgendwann,adv,"sometime, somewhen, anytime",lemma
irgendwas,pron,alternative form of irgendetwas (“anything”),lemma
irgendwelche,pron,any (no matter which),lemma
irgendwie,adv,somehow (in some unknown or unspecific manner),lemma
irgendwo,adv,somewhere,lemma
irgendwohin,adv,"to some place, somewhere",lemma
irren,verb,"to wander (to move around aimlessly, being unable to find where one wants to go)",lemma
irrtum,noun,"error, mistake",lemma
islam,name,Islam,lemma
iss,name,ISS,lemma
italien,name,Italy (a country in Southern Europe),lemma
italiener,noun,"Italian (person, or a type of chicken, or car)",lemma
italienisch,adj,Italian,lemma
ja,adv,obviously; certainly; of course; as you know; as is generally known (indicates and emphasises that one is expressing an established fact),lemma
jacke,noun,jacket,lemma
jagen,verb,to hunt (game),lemma
jahr,noun,"year (solar year, the time it takes the Earth to complete one orbit of the Sun)",lemma
jahrhundert,noun,a century (period of 100 years),lemma
jan,name,"a male given name, variant of Johann, popular in the later 20th century",lemma
januar,noun,January,lemma
japan,name,Japan (a country in East Asia),lemma
japaner,noun,Japanese (person),lemma
japanisch,adj,"Japanese (of or relating to Japan, the Japanese people, or the Japanese language)",lemma
je,adv,ever,lemma
jeder,pron,each,lemma
jedermann,pron,everyone,lemma
jederzeit,adv,anytime,lemma
jedesmal,adv,every time,curated-phrase
jedoch,adv,"however, yet, nevertheless",lemma
jemals,adv,ever,lemma
jemand,pron,"someone, somebody",lemma
jener,pron,"that, that one",lemma
jesu,name,Jesus,form-of
jetzt,adv,"now (at this moment, right now)",lemma
job,noun,"job, position, employment",lemma
jugend,noun,youth (quality or state of being young; part of life following childhood),lemma
juli,noun,July,lemma
jung,adj,young,lemma
juni,noun,June,lemma
jupiter,name,Jupiter,lemma
jäger,noun,hunter (male or of unspecified sex),lemma
jünger,noun,disciple (one who learns from and follows a usually religious or philosophical teacher; male or unspecified sex),lemma
kaffee,noun,coffee (beverage made by infusing coffee beans in hot water),lemma
kaiser,noun,emperor (ruler of certain monarchies; highest monarch),lemma
kalt,adj,"cold, chilly; the physical perception of something (objects, weather, body etc.) to have a low temperature",lemma
kamen,name,"a municipality of North Rhine-Westphalia, Germany",lemma
kamera,noun,camera (device for taking photographs or filming),lemma
kampf,noun,"struggle, battle, campaign, fight",lemma
kanada,name,Canada (a country in North America),lemma
kanadier,noun,Canadian (person from Canada),lemma
kaninchen,noun,rabbit,lemma
kapitel,noun,chapter (section of a text),lemma
kapitän,noun,captain,lemma
kaputt,adj,"destroyed, broken, out of order",lemma
karl,name,a male given name from Old High German,lemma
karriere,noun,career (occupational path),lemma
karte,noun,"card (flat, normally rectangular piece of stiff paper, plastic etc.)",lemma
karten,noun,card game,lemma
kartoffel,noun,potato,lemma
katastrophe,noun,"catastrophe, disaster, calamity",lemma
kater,noun,"tomcat, tom, male cat",lemma
katze,noun,"house cat, Felis silvestris catus",lemma
kauf,noun,purchase,lemma
kaufen,verb,"to buy, to purchase",lemma
kaum,adv,"barely, hardly (qualifying verbs or adjectives)",lemma
kehren,verb,to sweep,lemma
kein,pron,no; not a(n); not one; not any,lemma
keinerlei,adj,"no … whatsoever, no … at all",lemma
keks,noun,"cookie (US), biscuit (UK)",lemma
keller,noun,cellar,lemma
kellner,noun,waiter (male or of unspecified gender),lemma
kennen,verb,to know; to be acquainted with; to be familiar with,lemma
kennenlernen,verb,"to get to know, become acquainted with (a person, place, thing); to befriend.",lemma
kenntnis,noun,knowledge,lemma
kerl,noun,"fellow, guy, chap, bloke",lemma
kerze,noun,candle,lemma
kilo,noun,kilo,lemma
kilometer,noun,kilometer (unit of measure),lemma
kind,noun,kid; child (young person),lemma
kindheit,noun,childhood,lemma
kino,noun,cinema,lemma
kirche,noun,church (building),lemma
kissen,noun,cushion; pillow (bag filled with soft material used to sit or rest one’s head on),lemma
kiste,noun,"chest, box",lemma
klang,noun,"sound, tone",lemma
klapp,verb,"to clap (make a soft clapping sound, particularly of something being closed)",form-of
klar,adj,clear; transparent; bright,lemma
klasse,adj,"great, awesome",lemma
klassenkamerad,noun,classmate,lemma
klassenzimmer,noun,classroom,lemma
klauen,verb,to steal,lemma
klavier,noun,piano,lemma
kleid,noun,"dress, gown (kind of woman's garment)",lemma
kleiden,verb,"to dress, to clothe",lemma
kleidung,noun,clothing; apparel,lemma
klein,adj,"small, little, wee (in physical size or extent)",lemma
klima,noun,climate,lemma
klimaanlage,noun,air conditioner,lemma
klingeln,verb,to ring (to produce the sound of a bell or a similar sound),lemma
klingen,verb,to ring; to clink,lemma
klopfen,verb,"to knock, to rap (strike rather gently with something hard)",lemma
klug,adj,"intelligent, prudent, wise, smart, clever",lemma
km,noun,abbreviation of Kaltmiete,lemma
knapp,adj,scarce,lemma
kneipe,noun,"pub, bar",lemma
knie,noun,knee,lemma
knochen,noun,bone,lemma
knopf,noun,button (fastener),lemma
koch,noun,cook (one who cooks; male or unspecified gender),lemma
kochen,verb,"to cook, to prepare food (chiefly hot food for lunch or supper)",lemma
koffer,noun,a case; a suitcase or briefcase,lemma
kollege,noun,"colleague, coworker, workmate, fellow worker or member",lemma
komisch,adj,"comedic, comic, pertaining to comedy",lemma
komma,noun,"comma (,)",lemma
kommen,verb,to come; to arrive,lemma
kommend,adj,"coming, next",lemma
kommentar,noun,comment,lemma
kommunikation,noun,"communication, exchange of signs",lemma
komplett,adj,"complete, entire (including all possible parts or elements)",lemma
kompliziert,adj,"complicated, complex",lemma
konferenz,noun,conference,lemma
kontakt,noun,contact,lemma
konto,noun,account,lemma
kontrolle,noun,inspection,lemma
kontrollieren,verb,to check,lemma
konzentrieren,verb,"to concentrate, to focus (one's mind or attention)",lemma
konzert,noun,concert (musical event),lemma
kopf,noun,head,lemma
kopfschmerz,noun,headache,lemma
korb,noun,"basket, creel",lemma
korrekt,adj,correct,lemma
korrigieren,verb,to correct,lemma
kosten,verb,to cost,lemma
kostenlos,adj,"without cost, free",lemma
kraft,prep,"on the basis of; by virtue of; by means of, through",lemma
krank,adj,"ill, sick (in bad health)",lemma
kranken,verb,"to be ailing (from), to be held back (by), to be suffering (from) [with an (+ dative)] (to struggle with a non-catastrophic but severely limiting issue)",lemma
krankenhaus,noun,hospital,lemma
krankenschwester,noun,nurse (female),lemma
krankheit,noun,"sickness, illness",lemma
krawatte,noun,necktie,lemma
krebs,noun,"crustacean, crab, crayfish",lemma
kreis,noun,circle,lemma
krieg,verb,to get,form-of
kriegen,verb,to get,lemma
krise,noun,crisis (unstable situation),lemma
kritik,noun,criticism (negative judgement),lemma
kritisieren,verb,"to criticize, to criticise",lemma
kuchen,noun,"pie; cake; tart (foodstuff made of baked dough, other than bread)",lemma
kugel,noun,"a ball, usually solid",lemma
kuh,noun,cow (female bovine animal at or near adulthood),lemma
kultur,noun,culture,lemma
kunde,noun,"customer, patron, client",lemma
kunst,noun,art,lemma
kurs,noun,course (direction),lemma
kurz,adj,"short, quick, brief",lemma
kuss,noun,kiss,lemma
kälte,noun,coldness; cold,lemma
kämpfen,verb,"to fight, to struggle",lemma
käse,noun,cheese,lemma
kätzchen,noun,catkin (type of blossom),lemma
