lemma,pos,gloss,source
aufwachsen,verb,to grow up,lemma
aufzug,noun,"Clipping of Aufzugsanlage: lift, elevator",lemma
auge,noun,eye,lemma
augenblick,noun,"moment, instant, blink of an eye (very short period of time)",lemma
august,noun,August (month),lemma
aus,adj,over; finished; done; up,lemma
ausdruck,noun,"expression, term",lemma
ausdrücken,verb,"to squeeze, to squeeze out",lemma
ausgeben,verb,"to spend, to expend; to pay out",lemma
ausgehen,verb,to go out (to leave one's abode to go to public places),lemma
ausgesprochen,adv,"decidedly, markedly",lemma
ausgezeichnet,adj,"excellent, outstanding",lemma
auskommen,verb,to get along,lemma
ausland,noun,foreign countries (collectively),lemma
ausleihen,verb,to borrow,lemma
ausländer,noun,"foreigner; foreign national, regardless of descent (male or of unspecified gender)",lemma
ausmachen,verb,"to turn off, switch off",lemma
ausnahme,noun,exception,lemma
ausreden,verb,to finish speaking,lemma
ausreichen,verb,to suffice,lemma
ausruhen,verb,"to rest, to recover (through rest and relaxation)",lemma
aussage,noun,proposition,lemma
aussehen,verb,"to look, seem",lemma
aussicht,noun,"scenery, view, outlook (also figuratively)",lemma
aussprache,noun,pronunciation,lemma
ausstehen,verb,"to stand, to endure",lemma
australien,name,"Australia (a country consisting of a main island, the island of Tasmania and other smaller islands, located in Oceania; historically, a collection of former colonies of the British",lemma
auswendig,adv,by heart (knowing completely),lemma
auto,noun,car,lemma
autor,noun,author,lemma
außen,adv,outside,lemma
außer,conj,except; referring to a following clause or adverb,lemma
außerdem,adv,"in addition; furthermore, besides",lemma
außerhalb,adv,"outside, beyond",lemma
aß,verb,Switzerland and Liechtenstein standard spelling of aß,lemma
aßen,verb,Switzerland and Liechtenstein standard spelling of aßen,lemma
baby,noun,baby (infant),lemma
bach,name,"any of a great number of locations, including",lemma
backen,verb,to bake; to roast,lemma
bad,noun,bath,lemma
baden,verb,"to bathe, to give a bath to or have a bath.",lemma
badezimmer,noun,"bathroom (a room in a private dwelling where people wash themselves, containing a shower and/or bathtub)",lemma
bahn,noun,"route, trail",lemma
bahnhof,noun,"railway depot, railroad station, railway station, train station",lemma
bald,adv,soon (near in time),lemma
balkon,noun,"balcony (an accessible structure extending from a building, especially outside a window or overlooking a stage)",lemma
ball,noun,"ball (round or roundish object, most commonly used in games)",lemma
banane,noun,banana (fruit or tree),lemma
band,noun,"tape, ribbon",lemma
bank,noun,bench (which people sit on); pew,lemma
bar,adj,bare,lemma
bart,noun,beard,lemma
baseball,noun,baseball (ballgame),lemma
