form,lemma,source,pos
auge,auge,kaikki-headword,noun
politiker,politiker,kaikki-headword,noun
nachbarn,nachbar,kaikki-form-of,noun
solltet,sollen,kaikki-form-of,verb
erinnere,erinnern,kaikki-form-of,verb
tue,tun,kaikki-form-of,verb
gehabt,haben,kaikki-form-of,verb
konnten,können,kaikki-form-of,verb
eigene,eigen,kaikki-form-of,adj
letztes,letzte,kaikki-form-of,adj
kaufte,kaufen,kaikki-form-of,verb
welchem,welcher,kaikki-form-of,pron
legte,legen,kaikki-form-of,verb
schläft,schlafen,kaikki-form-of,verb
eingeladen,einladen,kaikki-form-of,verb
mühe,mühe,kaikki-headword,noun
tust,tun,kaikki-form-of,verb
darfst,dürfen,kaikki-form-of,verb
brille,brille,kaikki-headword,noun
angerufen,anrufen,kaikki-form-of,verb
wörter,wort,kaikki-form-of,noun
solange,solange,kaikki-headword,adv;conj
bekam,bekommen,kaikki-form-of,verb
nase,nase,kaikki-headword,noun
frieden,frieden,kaikki-headword,noun
rief,rufen,kaikki-form-of,verb
messer,messer,kaikki-headword,noun
finger,finger,kaikki-headword,noun
kennengelernt,kennenlernen,kaikki-form-of,verb
äpfel,apfel,kaikki-form-of,noun
lief,laufen,kaikki-form-of,verb
bäume,baum,kaikki-form-of,noun
traf,treffen,kaikki-form-of,verb
wußte,wissen,kaikki-form-of,verb
fühlte,fühlen,kaikki-form-of,verb
stellt,stellen,kaikki-form-of,verb
tu,tun,kaikki-form-of,noun;verb
hättet,haben,kaikki-form-of,verb
leuten,leute,kaikki-form-of,noun
schlug,schlagen,kaikki-form-of,verb
nachts,nachts,kaikki-headword,adv
öffnete,öffnen,kaikki-form-of,verb
vergiss,vergessen,kaikki-form-of,verb
nächstes,nah,kaikki-form-of,adj
gilt,gelten,kaikki-form-of,verb
sahen,sehen,kaikki-form-of,verb
dame,dame,kaikki-headword,noun
herrn,herr,kaikki-form-of,noun
liste,liste,kaikki-headword,noun
brücke,brücke,kaikki-headword,noun
zähne,zahn,kaikki-form-of,noun
erinnert,erinnern,kaikki-form-of,verb
las,lesen,kaikki-form-of,verb
fängt,fangen,kaikki-form-of,verb
zeigte,zeigen,kaikki-form-of,verb
warf,werfen,kaikki-form-of,verb
sieh,sehen,kaikki-form-of,verb
brauchte,brauchen,kaikki-form-of,verb
ideen,idee,kaikki-form-of,noun
gemüse,gemüse,kaikki-headword,noun
fernseher,fernseher,kaikki-headword,noun
hältst,halten,kaikki-form-of,verb
glaubte,glauben,kaikki-form-of,verb
mußt,müssen,kaikki-form-of,verb
papier,papier,kaikki-headword,noun
spielte,spielen,kaikki-form-of,verb
mindestens,mindestens,kaikki-headword,adv
fühlt,fühlen,kaikki-form-of,verb
handelt,handeln,kaikki-form-of,verb
glaubten,glauben,kaikki-form-of,verb
wenigstens,wenigstens,kaikki-headword,adv
wüsste,wissen,kaikki-form-of,verb
müßt,müssen,kaikki-form-of,verb
meinst,meinen,kaikki-form-of,verb
gezogen,ziehen,kaikki-form-of,verb
erzählte,erzählen,kaikki-form-of,verb
geschieht,geschehen,kaikki-form-of,verb
schaute,schauen,kaikki-form-of,verb
verlor,verlieren,kaikki-form-of,verb
half,helfen,kaikki-form-of,verb
aufgehört,aufhören,kaikki-form-of,verb
lebte,leben,kaikki-form-of,verb
weitere,weit,kaikki-form-of,adj
käse,käse,kaikki-headword,noun
meint,meinen,kaikki-form-of,verb
größten,groß,kaikki-form-of,adj
händen,hand,kaikki-form-of,noun
stieg,steigen,kaikki-form-of,verb
meinte,meinen,kaikki-form-of,verb
verließ,verlassen,kaikki-form-of,verb
euren,euer,kaikki-form-of,det
seiten,seite,kaikki-form-of,noun
bring,bringen,kaikki-form-of,verb
gäste,gast,kaikki-form-of,noun
muttersprache,muttersprache,kaikki-headword,noun
dauert,dauern,kaikki-form-of,verb
länder,land,kaikki-form-of,noun
führte,führen,kaikki-form-of,verb
könntet,können,kaikki-form-of,verb
frag,fragen,kaikki-form-of,verb
müsste,müssen,kaikki-form-of,verb
wartete,warten,kaikki-form-of,verb
fragt,fragen,kaikki-form-of,verb
wolltest,wollen,kaikki-form-of,verb
füße,fuß,kaikki-form-of,noun
meter,meter,kaikki-headword,noun
kannte,kennen,kaikki-form-of,verb
würdet,werden,kaikki-form-of,verb
ländern,land,kaikki-form-of,noun
schwestern,schwester,kaikki-form-of,noun
eurer,euer,kaikki-form-of,det
mitgebracht,mitbringen,kaikki-form-of,verb
trat,treten,kaikki-form-of,verb
schönste,schön,kaikki-form-of,adj
bemerkte,bemerken,kaikki-form-of,verb
stärker,stark,kaikki-form-of,adj
beschloss,beschließen,kaikki-form-of,verb
häuser,haus,kaikki-form-of,noun
liebst,lieben,kaikki-form-of,verb
mussten,müssen,kaikki-form-of,verb
maus,maus,kaikki-headword,noun
bleib,bleiben,kaikki-form-of,verb
freut,freuen,kaikki-form-of,verb
blume,blume,kaikki-headword,noun
jene,jener,kaikki-form-of,pron
liebte,lieben,kaikki-form-of,verb
kümmert,kümmern,kaikki-form-of,verb
wächst,wachsen,kaikki-form-of,verb
geschah,geschehen,kaikki-form-of,verb
stell,stellen,kaikki-form-of,verb
bessere,bessern,kaikki-form-of,verb
arbeitete,arbeiten,kaikki-form-of,verb
wichtigste,wichtig,kaikki-form-of,adj
antwortete,antworten,kaikki-form-of,verb
wussten,wissen,kaikki-form-of,verb
möchtet,mögen,kaikki-form-of,verb
ecke,ecke,kaikki-headword,noun
dasselbe,derselbe,kaikki-form-of,pron
enthält,enthalten,kaikki-form-of,verb
umgebracht,umbringen,kaikki-form-of,verb
fährst,fahren,kaikki-form-of,verb
beinahe,beinahe,kaikki-headword,adv
aufgewachsen,aufwachsen,kaikki-form-of,verb
teller,teller,kaikki-headword,noun
zunge,zunge,kaikki-headword,noun
suchte,suchen,kaikki-form-of,verb
hose,hose,kaikki-headword,noun
sprang,springen,kaikki-form-of,verb
rannte,rennen,kaikki-form-of,verb
hals,hals,kaikki-headword,noun
rosen,rose,kaikki-form-of,noun
begonnen,beginnen,kaikki-form-of,verb
beigebracht,beibringen,kaikki-form-of,verb
mochte,mögen,kaikki-form-of,verb
erklärte,erklären,kaikki-form-of,verb
lächelte,lächeln,kaikki-form-of,verb
machten,machen,kaikki-form-of,verb
schlange,schlange,kaikki-headword,noun
jacke,jacke,kaikki-headword,noun
spieler,spielen,kaikki-form-of,noun
fürchtet,fürchten,kaikki-form-of,verb
wißt,wissen,kaikki-form-of,verb
lautet,lauten,kaikki-form-of,verb
japaner,japaner,kaikki-headword,noun
kartoffeln,kartoffel,kaikki-form-of,noun
geschichten,geschichte,kaikki-form-of,noun
stirbt,sterben,kaikki-form-of,verb
arbeiter,arbeiten,kaikki-form-of,noun
trifft,treffen,kaikki-form-of,verb
fahrer,fahren,kaikki-form-of,noun
küsste,küssen,kaikki-form-of,verb
lachte,lachen,kaikki-form-of,verb
gibst,geben,kaikki-form-of,verb
gefiel,gefallen,kaikki-form-of,verb
laß,lassen,kaikki-form-of,verb
hohen,hoch,kaikki-form-of,adj
versprach,versprechen,kaikki-form-of,verb
zieh,ziehen,kaikki-form-of,verb
gezwungen,zwingen,kaikki-form-of,verb
farben,farbe,kaikki-form-of,noun
lernte,lernen,kaikki-form-of,verb
erinnerst,erinnern,kaikki-form-of,verb
hohe,hoch,kaikki-form-of,adj
höchste,hoch,kaikki-form-of,adj
nimmst,nehmen,kaikki-form-of,verb
mail,mailen,kaikki-form-of,noun;verb
aussieht,aussehen,kaikki-form-of,verb
standen,stehen,kaikki-form-of,verb
aufgestanden,aufstehen,kaikki-form-of,verb
eingeschlafen,einschlafen,kaikki-form-of,verb
täte,tun,kaikki-form-of,verb
wärst,sein,kaikki-form-of,verb
kunden,kunde,kaikki-form-of,noun
stimmte,stimmen,kaikki-form-of,verb
erzähl,erzählen,kaikki-form-of,verb
geglaubt,glauben,kaikki-form-of,verb
angenommen,annehmen,kaikki-form-of,verb
hilf,helfen,kaikki-form-of,verb
vieles,vieles,kaikki-headword,pron
erkannte,erkennen,kaikki-form-of,verb
schlimmste,schlimm,kaikki-form-of,adj
ärzte,arzt,kaikki-form-of,noun
vorne,vorne,kaikki-headword,adv
laßt,lassen,kaikki-form-of,verb
