form,lemma,source,pos
höchsten,hoch,kaikki-form-of,adj
chancen,chance,kaikki-form-of,noun
müssten,müssen,kaikki-form-of,verb
beeil,beeilen,kaikki-form-of,verb
wölfe,wolf,kaikki-form-of,noun
gefeuert,feuern,kaikki-form-of,verb
trafen,treffen,kaikki-form-of,verb
themen,thema,kaikki-form-of,noun
kunde,kunde,kaikki-headword,noun
bestellte,bestellen,kaikki-form-of,verb
unterhielten,unterhalten,kaikki-form-of,verb
spätestens,spätestens,kaikki-headword,adv
zugenommen,zunehmen,kaikki-form-of,verb
brachten,bringen,kaikki-form-of,verb
auszudrücken,ausdrücken,kaikki-form-of,verb
münze,münze,kaikki-headword,noun
schaffte,schaffen,kaikki-form-of,verb
mücken,mücke,kaikki-form-of,noun
stühle,stuhl,kaikki-form-of,noun
gemocht,mögen,kaikki-form-of,verb
chaos,chaos,kaikki-headword,noun
wachte,wachen,kaikki-form-of,verb
besucher,besucher,kaikki-headword,noun
ticket,ticket,kaikki-headword,noun
erhält,erhalten,kaikki-form-of,verb
wange,wange,kaikki-headword,noun
löste,lösen,kaikki-form-of,verb
benimmt,benehmen,kaikki-form-of,verb
mitgeteilt,mitteilen,kaikki-form-of,verb
plätze,platz,kaikki-form-of,noun
diener,dienen,kaikki-form-of,noun
erleichtert,erleichtern,kaikki-form-of,verb
maßnahmen,maßnahme,kaikki-form-of,noun
ente,ente,kaikki-headword,noun
vorhänge,vorhang,kaikki-form-of,noun
innere,inner,kaikki-form-of,adj
umzubringen,umbringen,kaikki-form-of,verb
liebhaber,liebhaber,kaikki-headword,noun
nochmals,nochmals,kaikki-headword,adv
wangen,wange,kaikki-form-of,noun
cousine,cousine,kaikki-headword,noun
auszugehen,ausgehen,kaikki-form-of,verb
hasen,hase,kaikki-form-of,noun
merkte,merken,kaikki-form-of,verb
gewußt,wissen,kaikki-form-of,verb
gemalt,malen,kaikki-form-of,verb
angeschaut,anschauen,kaikki-form-of,verb
verlangte,verlangen,kaikki-form-of,verb
kostete,kosten,kaikki-form-of,verb
interessen,interesse,kaikki-form-of,noun
demselben,derselbe,kaikki-form-of,pron
erhob,erheben,kaikki-form-of,verb
freuden,freude,kaikki-form-of,noun
schläfst,schlafen,kaikki-form-of,verb
sklaven,sklave,kaikki-form-of,noun
füllte,füllen,kaikki-form-of,verb
fahr,fahren,kaikki-form-of,verb
rettete,retten,kaikki-form-of,verb
jedenfalls,jedenfalls,kaikki-headword,adv
aufgegessen,aufessen,kaikki-form-of,verb
weggegangen,weggehen,kaikki-form-of,verb
hing,hängen,kaikki-form-of,verb
kaputtgemacht,kaputtmachen,kaikki-form-of,verb
fielen,fallen,kaikki-form-of,verb
vorschläge,vorschlag,kaikki-form-of,noun
zugehört,zuhören,kaikki-form-of,verb
starrte,starren,kaikki-form-of,verb
geringsten,gering,kaikki-form-of,adj
ware,ware,kaikki-headword,noun
jüngeren,jung,kaikki-form-of,adj
meinten,meinen,kaikki-form-of,verb
nüsse,nuss,kaikki-form-of,noun
gedauert,dauern,kaikki-form-of,verb
kannten,kennen,kaikki-form-of,verb
hohes,hoch,kaikki-form-of,adj
lieh,leihen,kaikki-form-of,verb
biene,biene,kaikki-headword,noun
such,suchen,kaikki-form-of,verb
nachnamen,nachname,kaikki-form-of,noun
gereist,reisen,kaikki-form-of,verb
verlobt,verloben,kaikki-form-of,verb
größeren,groß,kaikki-form-of,adj
abzuschließen,abschließen,kaikki-form-of,verb
hosen,hose,kaikki-form-of,noun
entdeckte,entdecken,kaikki-form-of,verb
höchstens,höchstens,kaikki-headword,adv
hinzugehen,hingehen,kaikki-form-of,verb
handelte,handeln,kaikki-form-of,verb
verbrachten,verbringen,kaikki-form-of,verb
nächte,nacht,kaikki-form-of,noun
stellst,stellen,kaikki-form-of,verb
maschinen,maschine,kaikki-form-of,noun
gehandelt,handeln,kaikki-form-of,verb
stellten,stellen,kaikki-form-of,verb
tanzte,tanzen,kaikki-form-of,verb
vergebens,vergebens,kaikki-headword,adv
bereitete,bereiten,kaikki-form-of,verb
kümmerte,kümmern,kaikki-form-of,verb
ausgeschaltet,ausschalten,kaikki-form-of,verb
gesperrt,sperren,kaikki-form-of,verb
befördert,befördern,kaikki-form-of,verb
zurückgegeben,zurückgeben,kaikki-form-of,verb
kletterte,klettern,kaikki-form-of,verb
anzufangen,anfangen,kaikki-form-of,verb
aussah,aussehen,kaikki-form-of,verb
verwandelte,verwandeln,kaikki-form-of,verb
schob,schieben,kaikki-form-of,verb
beschädigt,beschädigen,kaikki-form-of,verb
erwiesen,erweisen,kaikki-form-of,verb
ausgeschlossen,ausschließen,kaikki-form-of,verb
löcher,loch,kaikki-form-of,noun
hasste,hassen,kaikki-form-of,verb
führer,führer,kaikki-headword,noun
täter,täter,kaikki-headword,noun
risiken,risiko,kaikki-form-of,noun
herauszufinden,herausfinden,kaikki-form-of,verb
verursachte,verursachen,kaikki-form-of,verb
gesunden,gesund,kaikki-form-of,adj
müsstest,müssen,kaikki-form-of,verb
ausgezogen,ausziehen,kaikki-form-of,verb
nachgesehen,nachsehen,kaikki-form-of,verb
schuf,schaffen,kaikki-form-of,verb
brannte,brennen,kaikki-form-of,verb
verhält,verhalten,kaikki-form-of,verb
übt,üben,kaikki-form-of,verb
gruppen,gruppe,kaikki-form-of,noun
führten,führen,kaikki-form-of,verb
setzten,setzen,kaikki-form-of,verb
welpen,welpe,kaikki-form-of,noun
schwieg,schweigen,kaikki-form-of,verb
vorzustellen,vorstellen,kaikki-form-of,verb
mitzunehmen,mitnehmen,kaikki-form-of,verb
geringste,gering,kaikki-form-of,adj
goss,gießen,kaikki-form-of,verb
gesammelt,sammeln,kaikki-form-of,verb
gesunde,gesund,kaikki-form-of,adj
zauberer,zaubern,kaikki-form-of,noun
anzuschauen,anschauen,kaikki-form-of,verb
kürzer,kurz,kaikki-form-of,adj
steh,stehen,kaikki-form-of,verb
ergriff,ergreifen,kaikki-form-of,verb
bemühte,bemühen,kaikki-form-of,verb
tabletten,tablette,kaikki-form-of,noun
ameisen,ameise,kaikki-form-of,noun
ärgere,ärgern,kaikki-form-of,verb
dieselben,derselbe,kaikki-form-of,pron
wälder,wald,kaikki-form-of,noun
sogenannten,sogenannt,kaikki-form-of,adj
entschuldigte,entschuldigen,kaikki-form-of,verb
sieger,siegen,kaikki-form-of,noun
kälter,kalt,kaikki-form-of,adj
spürte,spüren,kaikki-form-of,verb
hinterließ,hinterlassen,kaikki-form-of,verb
einbrecher,einbrechen,kaikki-form-of,noun
tauchte,tauchen,kaikki-form-of,verb
unterschrieben,unterschreiben,kaikki-form-of,verb
durfte,dürfen,kaikki-form-of,verb
chinesen,chinese,kaikki-form-of,noun
zurückzukehren,zurückkehren,kaikki-form-of,verb
begab,begeben,kaikki-form-of,verb
zuzugeben,zugeben,kaikki-form-of,verb
tötete,töten,kaikki-form-of,verb
vorhanden,vorhanden,kaikki-headword,adj
bedauere,bedauern,kaikki-form-of,verb
missverstanden,missverstehen,kaikki-form-of,verb
sammelt,sammeln,kaikki-form-of,verb
gehörte,gehören,kaikki-form-of,verb
flüsterte,flüstern,kaikki-form-of,verb
versprich,versprechen,kaikki-form-of,verb
aufzupassen,aufpassen,kaikki-form-of,verb
verkaufte,verkaufen,kaikki-form-of,verb
flüsse,fluss,kaikki-form-of,noun
drohte,drohen,kaikki-form-of,verb
studierte,studieren,kaikki-form-of,verb
zeilen,zeile,kaikki-form-of,noun
fürchtete,fürchten,kaikki-form-of,verb
blüte,blüte,kaikki-headword,noun
juden,jude,kaikki-form-of,noun
annahme,annahme,kaikki-headword,noun
dachtest,denken,kaikki-form-of,verb
kenntnisse,kenntnis,kaikki-form-of,noun
mücke,mücke,kaikki-headword,noun
vorhat,vorhaben,kaikki-form-of,verb
schüttelte,schütteln,kaikki-form-of,verb
sprecher,sprecher,kaikki-headword,noun
dose,dose,kaikki-headword,noun
neuesten,neu,kaikki-form-of,adj
ausgabe,ausgabe,kaikki-headword,noun
klare,klar,kaikki-form-of,adj
aufzuhalten,aufhalten,kaikki-form-of,verb
erzogen,erziehen,kaikki-form-of,verb
liebten,lieben,kaikki-form-of,verb
zugestimmt,zustimmen,kaikki-form-of,verb
anfängt,anfangen,kaikki-form-of,verb
beschwerden,beschwerde,kaikki-form-of,noun
näherte,nähern,kaikki-form-of,verb
